2MON,Deux Montagnes
31DC,31 Décembre
AAIN,Avenue de l’Ain
ABBA,L'Abbaye
ABON,Abondance
ACAC,Acacias
ACCM,Communauté-Communes
ACCV,Centre de Convention
ACIA,Acacias
ADLI,Adrien-Ligué
ADOU,Ancienne-Douane
AERO,Aéroport
AGAZ,Usine à Gaz
AGLA,Les Aglands
AGVR,Aigues-Vertes
AIRE,Aïre
AIVI,Aire-la-Ville
AJEN,Jeandin
AJUR,Avenue du Jura
ALBA,Avully-Bachères
ALEC,Avully-Ecole
ALGE,Avully-Gennecy
ALMA,Avully-Martinet
ALPE,Alpes
ALTE,Altéa
ALVI,Avully-Village
AMDO,Amandolier
ANCH,Anieres-Chavanne
ANCI,Ancienne
ANDO,Anières-Douane
ANFR,Anc. Fruitière
ANGA,Annemasse Gare
ANGR,Anières-Gravière
ANMA,Anières-Mairie
ANPT,Annemasse Poste
ANRS,Anières-Village
APCB,Pont de Combe
APIA,Appia
ARAN,Arande
ARAR,Arare
AREN,Arena-Halle 7
ARME,Armes
ARTI,Artisans
ATEC,Athenaz-Ecole
ATHE,Athénée
ATTV,Attenville
ATVI,Athenaz-Village
AUBI,Merle-d'Aubigné
AUGS,Augustins
AUMO,Aumônes
AVAN,Avanchet
AVIA,Aviateurs
AVSY,Avusy
BADO,Badosse
BAIL,Les Baillets
BAIR,Bel-Air
BALE,Battelle
BALX,Balexert
BANS,Bains
BARA,Les Baraques
BARD,Barde
BASL,Basselat
BAUD,Curé-Baud
BAUM,Baumgartner
BBAY,Bois-de-Bay
BCOL,Bas-Collonges
BCRE,Baulacre
BDOU,Bourdigny-Douane
BELC,Belle-Cour
BELL,Bellerive
BELS,Bellins
BERU,Champ Berou
BERV,Beaumont-Rte de Viry
BESS,Bessinge
BFOU,Bourg-de-Four
BGOU,Bois-Gourmand
BGRI,Les Bougeries
BHET,Bachet-de-Pesay
BICH,Biches
BICN,Belle-Idée-Chênes
BISA,Belle-Idée-Salève
BISE,La Bise
BIT0,BIT
BLAN,Blanche
BLCH,Blanchards
BLDO,Blandonnet
BLHE,Blanché
BLID,Belle-Idée
BLOC,Château-Bloch
BLOE,Baron de Loë
BLTE,La Belotte
BMON,Bout-du-Monde
BNDL,Bandol
BOCA,Bois-Caran
BOCH,Bois-Chatton
BOGA,Bois-Galland
BOHT,Bouchet
BOIS,Boissier
BOLA,Bois-du-Lan
BOLX,Bouleaux
BOND,La Blonde
BOQU,Boqueteaux
BORN,Ch. des Bornes
BOSY,Bossy
BOUV,Les Bouveries
BOVE,La Boverie
BRDX,Bardonnex
BRET,Bretonnière
BRUN,Brunette
BSEJ,Beau-Séjour
BSOL,Beau-Soleil
BSOU,Bourdigny-Dessous
BSSN,Bossons
BSSY,Bassy
BSUS,Bourdigny-Dessus
BTIQ,La Boutique
BTNI,Butini
BUGN,Bugnons
BUSS,Les Bussioz
BUTN,Pont-Butin
BVRD,Bonvard
BVYL,Bovy-Lysberg
BXEG,Bernex-Eglise
BXMA,Bernex-Mairie
BXPL,Bernex-Place
BXSA,Bernex-Saule
CAAM,Carre-d'Amont
CABO,Bains de Cressy
CADO,Cara-Douane
CALA,Calas
CAMA,Carouge-Marché
CAMP,Campanules
CAND,Bois Candide
CANI,Vésenaz-Californie
CANO,Canonnière
CAPI,Capite
CARO,Caron
CARR,Rue Carrée
CASI,Casino
CAST,Castan
CATH,Cathédrale
CAVE,La Cave aux Fées
CAVX,Canal de Versoix
CBAC,Chemin du Bac
CBET,Combettes
CBFO,Chambésy-Fontaine
CBOI,Chemin des Bois
CBPL,Chambésy-Place
CBRI,De-Chateaubriand
CCAP,Crêts-de-la-Capite
CCAR,Champ-Carré
CCHA,Crêts-de-Champel
CCLA,Collège Claparède
CCOL,Croisée de Cologny
CCOT,Charcot
CCVT,Croix-de-Chavant
CDCH,Champ-Dollon chalet
CDOL,Champ-Dollon
CEAU,Croisée d'Eaumorte
CEBE,Bois-Chébé
CENT,Centenaire
CEPR,Ch. de l'Eperon
CERG,St Cergues Mairie
CERN,CERN
CERV,Cervonnex
CESL,Collège P. Langevin
CETX,Certoux
CFIL,Champ-des-Filles
CFLO,Crêts-de-Florissant
CFOU,Ch. des Fours
CFRE,Champs-Fréchets
CFUS,Champ-Fusy
CGNY,Chougny
CHAB,Beaumont Chable
CHAR,Charrot
CHAV,Chavannes des Bois
CHCL,Champ-Claude
CHDO,Ch. de la Douane
CHEC,Challex-Ecole
CHHA,Challex-La Halle
CHLA,Châtelaine
CHLE,Chens-sur-Léman
CHLX,Choulex
CHMA,La Chaumaz
CHNE,Chêne-Bougeries
CHOR,Centre Horticole
CHPC,Chablais-Parc
CHPR,Ch. des Princes
CHRM,Charmilles
CHSE,Challex-Eglise
CHTE,Ch. du Terraillet
CHTS,Chânats
CHVO,Château de Voltaire
CHVR,Chevrier
CIMT,Cimetière St-Georges
CING,Camping Bois-de-Bay
CIPO,Corsier-Port
